Feature1,Feature2,Target,Launched_Capped,Category_A,Category_B,Category_C,Category_D
117.64052345967664,32,1,,True,False,False,False
104.00157208367224,70,1,,False,True,False,False
109.7873798410574,85,0,,False,False,True,False
122.40893199201456,31,1,,False,False,False,True
118.67557990149967,13,0,,True,False,False,False
90.22722120123588,71,1,,False,True,False,False
109.50088417525588,56,1,,False,False,True,False
98.48642791702302,24,0,,False,False,False,True
98.96781148206442,79,0,,True,False,False,False
104.10598501938372,41,1,,False,True,False,False
101.4404357116088,18,1,,False,False,True,False
114.54273506962976,40,0,,False,False,False,True
107.61037725146994,54,1,,True,False,False,False
101.21675016492829,79,1,,False,True,False,False
104.43863232745426,11,1,,False,False,True,False
103.33674327374268,38,1,,False,False,False,True
114.94079073157606,93,1,,True,False,False,False
97.94841736234198,1,1,,False,True,False,False
103.130677016509,95,0,,False,False,True,False
91.45904260698276,44,0,,False,False,False,True
74.47010184165921,88,1,,True,False,False,False
106.5361859544036,24,0,,False,True,False,False
108.64436198859504,67,1,,False,False,True,False
92.57834979593558,82,0,,False,False,False,True
122.69754623987608,3,0,,True,False,False,False
85.45634325401235,76,1,,False,True,False,False
100.45758517301446,35,1,,False,False,True,False
98.12816149974168,86,1,,False,False,False,True
115.32779214358456,61,1,,True,False,False,False
114.69358769900283,69,1,,False,True,False,False
101.54947425696916,87,0,,False,False,True,False
103.78162519602174,43,1,,False,False,False,True
91.12214252369888,32,1,,True,False,False,False
80.19203531776073,11,1,,False,True,False,False
96.52087850673848,84,0,,False,False,True,False
101.5634896910398,10,0,,False,False,False,True
112.3029068072772,54,1,,True,False,False,False
112.02379848784412,37,1,,False,True,False,False
96.12673182592049,28,0,,False,False,True,False
96.97697249424664,2,1,,False,False,False,True
89.51447034932907,27,1,,True,False,False,False
85.79982062821026,83,1,,False,True,False,False
82.93729809374987,89,0,,False,False,True,False
119.5077539523179,23,0,,False,False,False,True
94.90347818248348,53,0,,True,False,False,False
95.61925698388814,51,1,,False,True,False,False
87.47204639950074,46,0,,False,False,True,False
107.7749035583191,20,0,,False,False,False,True
83.8610215244205,53,0,,True,False,False,False
97.87259719786032,29,0,,False,True,False,False
91.04533438806324,67,0,,False,False,True,False
103.86902497859262,35,0,,False,False,False,True
94.89194862431128,39,1,,True,False,False,False
88.19367815877588,9,1,,False,True,False,False
99.71817771661344,73,1,,False,False,True,False
104.28331870530418,41,0,,False,False,False,True
100.66517222383168,23,0,,True,False,False,False
103.0247189773978,3,1,,False,True,False,False
93.65677906319036,46,1,,False,False,True,False
96.37258834012862,90,1,,False,False,False,True
93.27539552224049,50,0,,True,False,False,False
96.4044683845946,3,1,,False,True,False,False
91.86853717955546,31,0,,False,False,True,False
82.73717397668324,9,1,,False,False,False,True
101.77426142253752,10,0,,True,False,False,False
95.98219063791738,27,1,,False,True,False,False
83.69801653033956,45,1,,False,False,True,False
104.62782255525774,71,1,,False,False,False,True
90.92701635616756,39,0,,True,False,False,False
100.5194539579614,61,1,,False,True,False,False
107.29090562177537,85,0,,False,False,True,False
101.2898291075741,97,0,,False,False,False,True
111.394006845433,44,1,,True,False,False,False
87.65174179646347,34,0,,False,True,False,False
104.02341641177549,34,1,,False,False,True,False
93.15189909059688,88,0,,False,False,False,True
91.29202850818118,33,0,,True,False,False,False
94.21150335235583,5,1,,False,True,False,False
96.88447467872628,36,0,,False,False,True,False
100.56165342229744,0,0,,False,False,False,True
88.34850159216643,75,0,,True,False,False,False
109.00826486954188,34,0,,False,True,False,False
104.6566243973046,69,0,,False,False,True,False
84.63756313722776,53,0,,False,False,False,True
114.882521937956,80,0,,True,False,False,False
118.95889176030585,62,0,,False,True,False,False
111.7877957115965,8,0,,False,False,True,False
98.2007516418765,61,1,,False,False,False,True
89.29247378489458,1,0,,True,False,False,False
110.54451726931136,81,1,,False,True,False,False
95.9682305302682,35,1,,False,False,True,False
112.22445070382427,91,0,,False,False,False,True
102.0827497807686,40,1,,True,False,False,False
109.76639036483712,36,1,,False,True,False,False
103.56366397174402,48,1,,False,False,True,False
107.06573168191947,25,0,,False,False,False,True
100.1050002072082,67,0,,True,False,False,False
117.85870493905836,35,1,,False,True,False,False
101.2691209270362,30,1,,False,False,True,False
104.01989363444702,29,1,,False,False,False,True
101.58225757954938,33,1,,True,False,False,False
